title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Водитель в такси на автомобиле компании или на собственном авто.,400000 - 550000 KZT,Алматы,Дада Максим Ахмад,05-06-2024,Водительское удостоверение категории B. - Знание города или умение пользоваться навигатором.,Перевозка клиентов Яндекс такси. - Большое количество поступающих заказов (заказы поступают 24/7 круглосуточно) - Круглосуточная поддержка.,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/100021793
Водитель погрузчика,225000 - 270000 KZT,Астана,МЕГАСТРОЙ DIY,16-05-2024,Образование: Среднее-специальное. Опыт вождения на электро-погрузчике и штабелере не менее 1 года. Наличие прав на управление погрузчиком (желательно). ,"Работа на разгрузочно- погрузочной технике (электрический погрузчик, штабелер). Распределение товара (паллет) по магазину, на складе. Перемещение товара по магазину.","{'id': 'shift', 'name': 'Сменный график'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99154322
Водитель-экспедитор,175000 - 220000 KZT,Экибастуз,ТН Трейд,17-05-2024,Ответственность. Честность. Желание работать и зарабатывать.,"Прием товара со склада. Развозить товар по торговым точкам ,забирать денежные средства за товар.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99208343
Водитель автокрана,200000 KZT,Усть-Каменогорск,Усть-Каменогорский завод металлоконструкций-Имсталькон,04-06-2024,Наличие соответствующих документов на право работы на автомобильном кране.,Работа на автомобильном кране.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/101241255
Водитель манипулятора,350000 KZT,Караганда,MDK - BUILD,21-05-2024,"Водительское удостоверение категории B, C, E. Ответственность и пунктуальность.","Управление, обслуживание, ремонт, поддержание камаза в исправном состоянии.","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/99659499
Водитель Д категории,180000 - 200000 KZT,Тараз,ТЕМІРЖОЛ ЖӨНДЕУ,17-05-2024,,"Обеспечивает технически правильную эксплуатацию и надежную работу закрепленный автотранспортной техники, повышение его сменности, содержание в технически исправном состоянии. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/99304334
Водитель-международник,,Кызылорда,ПРИМАВТО,04-06-2024,Опыт в международных грузоперевозках от 1 года. Наличие водительской категории СЕ. Наличие свидетельства водителя-международника. Наличие свидетельства ADR. ,"Доставка грузов различного рода заказчику по направлениям Европа, СНГ/Азия. Оформление необходимой документации.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99269509
Водитель на международные-груз перевозки (категории Е),300000 - 500000 KZT,Темиртау,СТАЛЬСУВИС,28-05-2024,Знание ТС (транспортного средства) DAFXF105. Владение гаджетами навигации. Требования: Иметь загранпаспорт. Стаж работы с полуприцепом не менее 3-х...,,"{'id': 'flexible', 'name': 'Гибкий график'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100495529
Водитель автомобиля категории Е,,Алтай (Зыряновск),ТБС-Логистика,05-06-2024,Водительское удостоверение категории СЕ.,Перевозка строительных материалов. Перевозка техники.,"{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101331159
Водитель-дальнобойщик,350000 - 500000 KZT,Костанай,TransCompanyKostanay,15-05-2024,"Чистоплотность, знание автомобиля.",Присутствие на загрузке и выгрузки. Видео и фото фиксация. Паспорт.,"{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/99037963
Менеджер по работе с водителями/Менеджер по продажам,250000 - 300000 KZT,Астана,Холдинговая компания BUSINESS CONSULTING GROUP KZ,05-06-2024,Свободное владение казахским языком. Опыт в данной сфере продаж/колл-центра.,"Привлечение новых водителей за счет прозвона готовой базы водителей. Прием входящих звонков, консультация по условиям аренды авто. Заполнение отчетов дня.","{'id': 'shift', 'name': 'Сменный график'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/98725245
Водитель-экспедитор,200000 - 220000 KZT,Петропавловск,Савенкова О.Н.,16-05-2024,Требования: Знание города. Коммуникабельность.,,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99104492
Водитель на фискарс (Тюмень),150000 - 150000 RUR,Петропавловск,Старвей Логистика,14-05-2024,Работа на технике не старше 3-х лет. Наличие водительского удостоверения с открытой категорий Е. Наличие удостоверения машиниста крана манипулятора. ,Обучаем кандидатов КМУ с категорией Е. Работа на седельном тягаче с КМУ; ОБЫЧНО КАМАЗЫ.,"{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98888940
Водитель-экспедитор,250000 - 300000 KZT,Астана,Almatytrade,03-06-2024,"Опыт работы, знание города.",,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/94828989
Курьер-водитель на автомобиле компании,300000 - 600000 KZT,Алматы,Magnum E-commerce Kazakhstan,02-06-2024,Быстрый темп работы.,Доставлять продовольственные товары до двери.,"{'id': 'shift', 'name': 'Сменный график'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/93388936
"Водитель категории Б,С,Д,Е",220000 - 250000 KZT,Усть-Каменогорск,УКУ Промтехмонтаж,29-05-2024,Опыт работы. Добросовестность. Законченное среднее образование. Стаж управление грузовым автомобилем от 1 года. Ответственность.,"Соблюдать трудовую дисциплину. Нормы безопасности по перевозкам грузов,а также управление грузовым автомобилем.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100606204
Водитель категории С (на самосвалы Шансиманы),300000 - 400000 KZT,Алматы,Элит Макс Строй,04-06-2024,Ответственность. Пунктуальность. Трудолюбие. Стрессоустойчивость. Обязателен опыт вождения грузового автотранспорта.,"Развозка, доставка сыпучих иннертных материалов по объектам. Содержание машины в чистоте.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99243909
