title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Менеджер в офис,350000 - 500000 KZT,Костанай,Seven City,04-08-2023,,,,Нет опыта,Полная занятость,https://hh.ru/vacancy/84527380
Менеджер Службы Заботы о Клиентах (удаленно),150000 KZT,Алматы,Kaspi.kz,08-08-2023,Умение доступным языком излагать необходимую информацию клиенту. Желание найти подход к каждому клиенту и умение сосредотачиваться на вопросах клиента. ,Оказывать помощь и заботу клиентам в решении их проблем. Консультировать потенциальных и действующих клиентов банка по телефону. Предоставлять информацию по...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82869210
HR менеджер,800000 - 1000000 KZT,Алматы,KSN(ресторан “Yakuza”),11-08-2023,"Требуемый опыт от 2-х-3-х лет на позиции HR. Кандидатов без опыта не рассматриваем! Высшее образование (психология, управление...",Организация и проведение собеседований с кандидатами. Составление и анализ баз данных кандидатов. Проведение анализа рынка труда. Сотрудничество с менеджерами по...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84958028
Product manager,800000 KZT,Алматы,AiSa,10-08-2023,"Опыт работы более 1 года в сфере маркетинга, ИТ или онлайн торговли. Владение маркетинговыми инструментами.","Зона ответственности сотрудника: Разработать план развития маркетплейса с учетом потребностей рынка. Разработать схему взаимодействия с клиентами, продавцами. Понимание рынка, управление...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84895753
Генеральный менеджер отеля,1200000 KZT,Астана,Частная компания QZ Property,09-08-2023,Опыт работы на аналогичной должности или выше не менее 5 лет. Опыт работы по запуску новых отелей. Знание международных стандартов...,"Генерального Менеджера будет отвечать за финансовые показатели, стратегический план развития отеля и управление всеми аспектами его деятельности, включая обслуживание гостей...",,Более 6 лет,Полная занятость,https://hh.ru/vacancy/84830799
Менеджер Яндекс такси (В офисе),170000 - 350000 KZT,Алматы,PLATINUM 2.0,07-08-2023,"1. Ответственный, который не побоится взять на себя смелость решить какой либо вопрос. 2. Смышленый, который будет находить ответы даже...","Входящие и исходящие звонки. - Консультирование по вопросам работы водителей/курьеров Яндекс. - Работа с CRM системой, а также мессенджеры. - ",,Нет опыта,Полная занятость,https://hh.ru/vacancy/84674240
Менеджер по заявкам,200000 KZT,Тараз,Тараз Сдоба,10-08-2023,"Владение казахского и русского языков. Знание программы Галион (1С, EXCEL). Опыт работы в сфере продаж не менее 1 года. ","Прием и обработка входящих заявок. Оформление заявок и накладных. Заполнение документации. Ведение отчетности (акты сверок, оплаты, возвраты). Мониторинг продаж.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84862414
Менеджер по персоналу и КДП,330000 - 430000 KZT,Астана,Alageum Electric,09-08-2023,Высшее образование. Опыт работы на аналогичной позиции не меньше 3-х лет. Опыт работы со сменным графиком. Готовность работать в...,"Поиск и подбор персонала. Ведение кадрового делопроизводства в полном объеме: разработка и составление документов, приказов, справок под нужды компании, прием...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84831281
Менеджер вайлдбериз (wildberries),150000 - 250000 KZT,Алматы,JOYS TOYS,02-08-2023,"1. Опыт работы с продажами (будет преимуществом). 2. Базовые знания работы с офисными программами (Excel, Word). 3. Грамотно поставленная устная...",1. Ведение отчетности и аналитики своей работы. 3. Работа с заказами и алгоритмами WB. 4. Продвижение товарного ассортимента.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84447159
Менеджер Kaspi магазина,80000 - 120000 KZT,Алматы,BOOKBOX.KZ,05-08-2023,,"Фотографирование товара, обработка в приложении. Работа в Kaspi магазине (выставление на продажу товаров, снятие с продаж товаров которых нет в...",,Нет опыта,Частичная занятость,https://hh.ru/vacancy/84582184
