title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Юрист,250000 KZT,Петропавловск,SCK (ЭсСиКей),17-06-2024,Наличие юридического образования и практики в экономическом суде. Опыт работы юристом. Знание законодательных и иных нормативных правовых актов РК.,"Вести юридические дела компании. Участвовать в судебных процессах, подготавливать все необходимые документы. Составлять договора в соответствии с политикой компании.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100394686
Юрист,,Алматы,ТехноНИКОЛЬ,21-05-2024,"Юридическое образование. Опыт работы по профессии не менее 5 лет, приветствуется опыт работы юристом в производственной организации. Высокий уровень экспертности...","Юридическое сопровождение деятельности производственного предприятия. Корпоративная работа (составление протоколов общества, согласования сделок, внесение изменений в учредительные документы и т.д.). ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/91085348
Юрист в лице госзакупщика,150000 - 200000 KZT,Астана,Республиканский Медицинский Институт,28-05-2024,"Честность, ответственность, коммуникабельность, пунктуальность. Умение работать в коллективе.","Ведение государственных закупок на гос портале, составление трудовых и гпх договоров, составление писем с вышестоящими органами, ведение внутренней документации компании. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100460407
Юрист,,Астана,ШАТЕ-М ПЛЮС,07-06-2024,"Высшее юридическое образование. Опыт работы по специальности от 7 лет, включающий не менее 3-х лет опыта работы в коммерческих...",Правовое обеспечение ТОО. Представительство интересов ТОО. Претензионно-исковая работа. Ведение работы по взысканию просроченной дебиторской задолженности. Договорная работа. ,"{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/101514596
Юрист,,Шымкент,OTAU GROUP,16-06-2024,"Высшее юридическое образование. Обязательно иметь опыт участия в различных судебных процессах, включая гражданские, административные или коммерческие дела. Необходимо иметь глубокое...","Организовать договорную работу, работу по соблюдению законодательства и претензионно-исковую работу на Проекте: планировать, обеспечивать исполнение планов, контролировать достижение результатов...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/99971128
Юрист,300000 - 350000 KZT,Алматы,AMIIR LOGISTICS,27-05-2024,Высшее юридическое образование. Опыт работы юристом/помощником юриста не менее 4 лет. Грамотная речь. Навыки письменной коммуникации.,Полное юридическое сопровождение деятельности компании и осуществление правовой поддержки дочерних компаний и аффилированных лиц компаний. Разработка проектов юридических документов (договоров...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100293862
Юрист,,Алматы,Jusan Bank,31-05-2024,"Высшее юридическое образование. Опыт работы на аналогичной позиции - не менее 3 лет. Практика применения гражданского процессуального и административного права, участие...","Представление и защита интересов Банка в судах по уголовным и гражданским делам, а также по делам об административных правонарушениях, в...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/98347951
Специалист\Юрист,180000 - 300000 KZT,Кокшетау,INDEPENDENT LAWYERS GROUP,16-06-2024,Высшее образование (желательно юридическое). Желателен опыт работы в юридическом секторе.,,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/99563320
Юрист,,Алматы,SMLAB,28-05-2024,Высшее образование: Юридическое. Опыт работы юристом от 5 лет. Умение работать с современными правовыми базами юридических документов. Экспертное знание законодательства...,"Правовой анализ подписываемых договоров компании, юридическое сопровождение договорной работы. Участие в судебных заседаниях (подготовка процессуальных документов). Правовой анализ документов, подготовка...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/100486028
Ведущий юрисконсульт,80000 RUR,Алматы,"Эксмо, издательство",13-06-2024,"Знание законодательства и юридической терминологии, нормативные и методические материалы. Внимательность и точность. Умение анализировать и формулировать четко информацию. ","Работа с договорами поставки книжной продукции: подготовка, заключение, ведение и контроль исполнения договоров (закупка) с Издательствами РК, странами ЕАЭС. ","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/98894160
Юрисконсульт,490000 KZT,Алматы,SCALES OF JUSTICE,13-06-2024,"Высшее юридическое образование. Опыт работы обязателен. Знание гражданского, трудового, административного, налогового, гражданско-процессуального и арбитражно-процессуального права, законодательных актов, регламентирующих...",Правовое обеспечение деятельности предприятия. Претензионно-исковая работа. Юридическое сопровождение деятельности компании. Предоставление интересов компании в судах и государственных надзорных органах.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98131956
Юрист по судебным делам,,Алматы,"AIR ASTANA, АО",04-06-2024,"Высшее образование в сфере юриспруденции, полученное на территории Республики Казахстан. Предыдущий опыт работы по специальности от 1-2 лет. ","Представление и защита интересов АО «Эйр Астана» в судах, государственных органах, органах Полиции и Прокуратуры, общественных и иных организациях при...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101255952
Юрист,200000 - 201000 KZT,Темиртау,Производственная база - Мира35,03-06-2024,"Высшее профессиональное (юридическое) образование и стаж работы по специальности не менее одного года. Должен знать: - законодательные, иные нормативные правовые акты...","Осуществлять разработку учредительных документов. - Разработка положения о сделках (договорах), связанных с приобретением или отчуждением имущества;- Организация работы: по обеспечению предприятия...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101053302
Юрист,350000 KZT,Алматы,DEVINO KAZAKHSTAN (ДЕВИНО КАЗАХСТАН),18-06-2024,"Высшее образование. Опыт работы, желательно в сфере телекоммуникационных компаний.","Осуществляет разработку учредительных документов; обеспечивает регистрацию юридических лиц, внесение изменений в учредительные документы; разрабатывает положение о сделках, связанных с приобретением...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101411350
Юрист,400000 - 500000 KZT,Алматы,Ticketon Events,17-06-2024,Экспертное понимание фундаментальных основ в юридической практике. Английский язык (advanced/fluent) – предпочтительно. Казахский – предпочтительно. Умение работать в команде и единолично. ,Договорная работа. Претензионно-исковая работа. Правовое сопровождение проектов ТОО. Консультирование по вопросам законодательства. Юридическая поддержка внутренних подразделений ТОО по различным...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100694434
Юрист (в единственном лице),,Астана,SND Engineering,16-06-2024,"Высшее/ средне-специальное образование. Опыт работы от 1 года на позиции юриста, юрисконсульта. Готовность работать самостоятельно, так как юрист нужен...","Заключили 500 договоров на проектирование, экспертизу и перепланировку. Расширили клиентскую базу до 3000 контактов. Устроили в штат 25 сотрудников и...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98897216
Юрист по Досудебному и Судебному Урегулированию Споров в Страховой Компании Жизни,,Алматы,"Халык-Life, АО",18-06-2024,"Высшее юридическое образование. Безупречная деловая репутация. Опыт работы в области финансового и страхового права, предпочтительно в сфере страхования жизни, не...","Осуществление досудебного и судебного урегулирования страховых споров, связанных с страхованием жизни. Подготовка и анализ документации по юридическим вопросам, связанным с...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100489615
Юрист по судебной работе,350000 KZT,Шымкент,Legal Support,14-06-2024,"Высшее юридическое образование. Опыт работы. Знание гражданского, трудового, административного, налогового, гражданско-процессуального и арбитражно-процессуального права, законодательных актов, регламентирующих производственно...",Правовое обеспечение деятельности предприятия. Претензионно-исковая работа. Юридическое сопровождение деятельности компании. Предоставление интересов компании в судах и государственных надзорных органах.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100386676
Главный юрисконсульт,,Темиртау,Народный банк Казахстана,24-05-2024,у Вас высшее юридическое образование. - у Вас есть опыт работы по специальности не менее 3-х лет. - у Вас высокий...,Главный юрисконсульт стоит на защите правовых интересов Банка и его Клиентов. Работа нашего Главного юрисконсульта включает в себя много разноплановых...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100095086
Юрист,,Талдыкорган,Микрофинансовая организация KMF(КМФ),27-05-2024,Высшее образование (юридическое). Опыт работы по возврату проблемных займов не менее 1 года. Хорошее знание гражданского законодательства и исполнительного производства.,"Договорно-правовая работа. Консультирование по юридическим вопросам. Представление интересов филиала в правоохранительных органах, судах. Осуществление комплекса мероприятий по возврату задолженности...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100391771
